left_dataset,right_dataset,confidence_score
21867,6819,1.0
22263,51473,0.9
22293,61078,1.0
23292,74450,1.0
24347,46147,0.85
26012,20029,1.0
26651,85853,0.93
26931,36415,1.0
27557,28381,1.0
27621,36415,0.93
39607,42018,1.0
40673,94373,1.0
40707,1966,1.0
41087,16686,1.0
42584,1966,1.0
43520,22928,1.0
43520,52216,0.81
43679,22928,1.0
46088,49870,1.0
46212,50654,1.0
50168,49870,1.0
53971,78858,0.89
30504,46135,0.83
88396,54041,0.92
89650,63116,1.0
90192,3569,1.0
90977,63116,1.0
91918,3569,1.0
92615,70227,1.0
89118,51417,1.0
130,65029,0.93
1138,76856,1.0
1544,43823,1.0
1740,29290,0.91
2337,58894,1.0
2554,57807,0.97
2766,9116,0.91
3729,75034,0.89
4341,7581,1.0
4709,59565,0.91
4877,8504,0.91
5527,14289,1.0
6301,63076,0.89
6795,41535,0.93
6984,59565,0.91
7986,42269,1.0
8714,26275,1.0
9967,55644,1.0
10313,76814,1.0
11663,68992,1.0
12891,5314,0.85
13519,26636,0.81
13616,69413,0.89
13703,27180,1.0
15422,27899,1.0
16910,11874,1.0
17340,23965,0.9
17986,3760,0.89
18723,27899,0.87
18811,90974,1.0
18901,81391,1.0
19133,81391,1.0
20297,76395,0.88
21512,36903,1.0
22312,68343,0.8
22468,90974,1.0
22676,59693,0.92
23828,58903,0.92
24455,59693,1.0
25251,347,0.83
25400,71498,1.0
26188,74919,0.82
26661,27442,1.0
27043,1547,1.0
27043,88643,0.8
27043,94457,0.8
28016,10680,0.88
28649,30500,0.87
29111,25690,0.89
29355,8127,0.88
29424,26491,0.95
29570,87735,1.0
29763,40722,1.0
30011,26491,0.95
30093,30168,0.94
30098,49010,1.0
30212,30168,0.94
30282,49010,1.0
30745,14186,1.0
31240,14186,1.0
31367,1167,0.87
31975,51067,0.85
31986,79589,1.0
32018,51067,0.85
32305,77134,0.8
32413,52815,1.0
32577,1344,0.88
32628,73324,1.0
32987,84195,1.0
32989,84195,1.0
33374,34800,1.0
34812,1344,0.85
34856,57,1.0
35494,34274,1.0
36280,622,1.0
36601,34800,1.0
36640,27126,1.0
37383,34274,1.0
38282,56029,0.84
38383,80024,1.0
38663,5763,0.92
38768,24087,0.82
939,84590,1.0
1790,83275,0.91
1921,69453,0.8
4566,8831,1.0
5926,5257,1.0
6262,2597,0.81
7838,44381,1.0
9393,26663,0.8
12032,13469,0.89
12032,46069,0.94
12752,91356,1.0
13586,40985,1.0
18177,36448,0.8
19385,3806,1.0
21216,38731,1.0
24080,764,0.84
26835,20652,0.95
76606,26301,0.93
79925,2897,1.0
81451,2897,1.0
39340,14098,1.0
40198,36318,1.0
40198,39916,0.82
40520,17168,1.0
40761,28835,1.0
40943,37079,0.88
40953,37079,0.88
41568,52013,1.0
42259,81973,1.0
42283,35630,0.91
42627,36198,1.0
42957,87103,0.9
42958,87103,0.9
43422,34234,0.9
43712,86370,0.96
43811,92355,1.0
44173,68898,1.0
44875,47328,0.83
44904,40118,1.0
45873,70408,0.98
47190,53349,1.0
47590,1863,0.92
48443,48201,0.87
48475,39302,0.81
48685,1863,0.92
48716,39302,0.81
48901,73249,1.0
48993,37207,1.0
49461,22440,0.9
49568,67288,1.0
49934,86977,0.87
49936,86977,0.87
53246,77209,1.0
53273,77209,1.0
53554,4809,1.0
651,51960,1.0
1800,33480,0.82
4099,24322,0.88
8131,12045,0.88
8557,81304,1.0
10116,20819,0.88
10911,30207,1.0
10963,30207,1.0
10992,54147,1.0
13361,32225,0.94
14136,86922,0.88
14340,35586,0.9
14355,14561,0.88
15722,35586,0.85
15803,35282,0.86
15850,25948,1.0
15873,87106,0.95
17237,89766,0.81
18060,59041,0.88
18067,55234,1.0
18722,92501,1.0
20902,65663,1.0
20903,65663,1.0
21156,24990,1.0
22877,25948,1.0
25071,61986,0.83
25461,70965,1.0
25673,20924,1.0
26568,40651,0.82
27200,16538,0.88
27262,14059,1.0
27581,47836,1.0
27732,65121,0.8
62906,78669,0.93
65464,31716,0.92
67363,75654,0.88
68380,84852,1.0
68381,84852,1.0
70121,51337,1.0
70501,71016,1.0
70753,85335,1.0
71158,66199,1.0
73263,82843,1.0
77370,82843,0.9
77443,5235,1.0
81475,58134,1.0
81699,59472,0.93
84228,56013,1.0
84486,56013,1.0
85013,75066,1.0
86197,33990,0.86
985,48278,0.92
1564,75409,0.91
2047,14501,1.0
2339,18381,0.93
2889,57733,0.95
4017,69250,0.86
4613,86826,0.91
4920,14501,1.0
5067,75409,0.86
5891,86826,0.91
6223,20395,0.87
6323,72814,0.8
6335,82661,0.88
7021,5521,1.0
7021,16613,0.82
7158,5521,0.95
7158,16613,0.82
7576,15196,1.0
7767,90821,0.94
10117,494,1.0
10431,23140,0.94
10760,23140,0.88
11072,16613,0.82
11676,68830,0.86
11774,16613,0.82
12191,69786,0.9
13357,82098,1.0
13567,68830,1.0
13913,46345,1.0
13916,75409,0.86
14058,76670,1.0
14595,43401,1.0
16988,33090,0.85
17395,46345,1.0
20113,20601,1.0
20158,2941,0.82
20158,5521,0.82
20158,8814,0.82
20158,14630,0.82
20158,16613,0.85
20158,21237,0.82
20158,21435,0.81
20158,30470,0.82
20158,45869,0.82
20158,65248,0.82
20158,65958,0.82
20158,80411,0.82
20158,86826,0.82
21418,2941,0.82
21418,5521,0.82
21418,8814,0.82
21418,14630,0.82
21418,16613,0.85
21418,21237,0.82
21418,21435,0.81
21418,30470,0.82
21418,45869,0.82
21418,65248,0.82
21418,65958,0.82
21418,80411,0.82
21418,86826,0.82
21580,71797,1.0
23041,7751,0.86
26055,8814,0.9
26055,16613,0.82
26122,48718,1.0
26122,59925,0.86
26370,48718,1.0
26370,59925,0.86
26430,72272,1.0
26838,26569,1.0
86921,56803,0.8
86926,93221,0.82
87051,5260,1.0
87162,54367,1.0
88095,67681,1.0
88097,67681,1.0
88507,91002,1.0
88515,79531,1.0
88604,70233,1.0
88920,70348,1.0
88920,73379,0.8
89025,39389,1.0
89306,73379,0.82
89549,53774,1.0
89570,14480,0.81
89587,53774,1.0
89921,56803,0.8
89922,26583,0.91
89923,26583,1.0
90142,41478,0.81
90181,76204,1.0
90447,73722,0.96
90840,70348,1.0
90867,14480,0.83
91089,20472,1.0
91123,5260,0.89
91221,23932,0.92
91355,16576,0.81
91498,24086,1.0
91734,75341,1.0
92215,76204,1.0
92889,39389,1.0
93016,10484,1.0
93469,30921,1.0
93837,81735,1.0
94115,6665,1.0
94203,6665,1.0
95039,540,1.0
95305,73379,0.82
95339,12796,1.0
96623,44055,1.0
96883,44055,0.81
98023,88922,0.92
98355,52838,1.0
177,94475,1.0
210,87362,1.0
652,51405,0.8
1709,22774,1.0
2114,9616,1.0
2479,94475,1.0
2618,9566,1.0
2633,62796,1.0
3119,14054,1.0
3262,39673,0.9
3422,9616,1.0
4024,33242,0.85
4327,15550,1.0
7478,30973,1.0
7479,30973,1.0
8432,50856,1.0
9358,15694,1.0
9435,59797,1.0
9681,59446,1.0
9704,4005,0.84
10627,55030,0.87
11172,55030,1.0
11685,73315,1.0
12442,16345,1.0
13268,59446,0.8
14256,68488,0.85
14274,68488,0.85
15002,4005,0.84
15049,76050,0.91
15054,76050,0.82
19076,25106,0.88
21598,34776,1.0
21789,29008,1.0
21959,29008,1.0
24694,39662,1.0
25483,79546,1.0
25484,79546,0.94
26166,90713,0.94
27445,4819,1.0
56511,34586,1.0
57077,35690,0.81
58314,65942,1.0
59713,85385,1.0
59716,85385,0.9
61969,63760,1.0
62285,11796,1.0
63181,27225,0.89
63257,61184,0.88
63274,46493,1.0
63314,26036,1.0
64160,46493,1.0
64692,6591,0.8
66514,38520,0.8
67093,8336,1.0
67324,27225,0.89
67498,50096,0.94
70189,63760,1.0
72729,58370,1.0
73110,4499,1.0
73313,2082,0.92
74679,25007,1.0
75460,72566,0.8
75619,28006,0.88
76981,82515,1.0
77182,51525,0.87
77788,84693,0.92
80585,19573,1.0
82084,90509,0.88
82388,90509,0.88
86551,31548,0.88
1679,3765,1.0
8916,27757,1.0
9791,38011,0.91
14843,59914,0.8
23820,29003,0.96
23821,29003,1.0
26596,25253,0.9
56462,57556,0.8
56595,3594,0.87
57018,43849,1.0
61885,23971,0.9
62483,21925,1.0
63653,2855,1.0
68349,33877,1.0
68413,38079,0.82
68725,33877,1.0
69404,38079,0.82
71974,31367,0.85
73284,61170,0.92
73870,43586,0.85
74156,47545,1.0
74292,43586,1.0
76103,31367,0.85
77411,55494,0.9
79009,47194,1.0
79010,47194,1.0
79708,54560,1.0
81284,76529,0.88
82796,69430,1.0
84026,49277,1.0
84039,49277,1.0
84480,7772,1.0
84742,34415,1.0
39265,13372,1.0
41345,22999,1.0
43573,67640,0.95
44743,31236,0.86
46340,89903,1.0
47207,74817,0.8
48613,32408,1.0
48702,32408,1.0
51188,36850,0.99
52337,33607,0.95
52903,33607,0.88
769,61637,0.94
1765,92986,1.0
1766,92986,1.0
3327,25088,0.92
3434,18495,0.92
4311,44094,0.83
4532,22165,0.92
4628,22165,1.0
4756,38456,0.88
5500,44094,0.9
5940,38456,0.88
8602,26332,1.0
13672,70968,1.0
13890,52540,0.84
18243,61622,0.82
18439,56857,1.0
19450,47871,0.84
19451,47871,0.93
22544,73424,0.87
22545,73424,0.87
23135,65500,0.9
23138,65500,0.96
25617,54699,1.0
1983,4287,1.0
3903,49888,0.92
4808,43585,1.0
5175,16642,0.89
5860,43585,0.9
5947,67571,1.0
6707,16642,1.0
7295,36861,0.9
7349,61324,1.0
7445,61324,1.0
8441,92746,1.0
8515,75463,1.0
8585,83674,0.96
8772,64647,0.82
9304,56713,0.8
9896,87063,0.89
9984,87063,1.0
11963,49888,0.95
12121,1634,0.8
12121,69214,0.83
12121,83674,1.0
12135,75463,0.93
12760,25016,0.95
13556,87554,0.85
14945,35917,1.0
15008,35917,1.0
15415,83107,1.0
16057,12354,1.0
16435,11402,0.9
18352,22635,1.0
22166,52336,0.85
24088,39218,1.0
24923,25518,0.85
14,15883,1.0
691,9300,0.92
1150,63984,1.0
1715,12048,1.0
1782,22096,1.0
2168,83705,1.0
2793,24436,1.0
2852,34255,0.94
4063,91348,1.0
4750,55656,1.0
4847,31714,0.86
4898,34255,1.0
4906,2411,1.0
5165,20332,0.9
6374,27121,1.0
6522,29768,0.97
7917,55656,0.93
7975,58940,0.92
8883,27121,1.0
9523,71547,1.0
9554,25730,0.94
9555,25730,0.93
10686,18086,0.84
11951,45580,1.0
12763,23844,1.0
14521,23872,1.0
14803,84262,0.8
15139,4262,1.0
15787,84262,0.8
15822,20254,1.0
17241,11702,1.0
18099,56063,1.0
18112,23844,1.0
18114,45580,1.0
19139,7332,0.84
21495,67860,1.0
23508,15265,1.0
24502,15265,0.87
24857,24177,1.0
25125,14123,1.0
25445,25560,1.0
26767,66509,0.93
27272,62707,1.0
27923,9611,0.82
28978,93582,0.81
29080,23332,1.0
29081,23332,1.0
29101,93582,0.86
29133,49230,0.91
30038,83127,1.0
30633,64553,0.84
31271,84026,0.94
31409,37464,0.87
31428,93285,1.0
31484,84026,0.94
31559,37464,1.0
31780,80855,1.0
31982,6734,0.81
32031,59210,0.85
32881,49230,1.0
32980,22929,0.93
33829,40624,0.85
34025,3804,0.88
34151,66527,1.0
34201,40624,0.8
34588,32867,0.86
34714,26792,1.0
34766,66527,1.0
35053,7773,1.0
35055,7773,0.95
35201,79105,0.83
35211,22988,1.0
35783,29730,1.0
36303,41891,1.0
36406,71355,0.82
36759,92522,0.89
36937,27132,0.94
37114,44984,1.0
37294,71355,0.82
37577,93807,0.9
37909,74867,0.82
38222,19364,0.86
38520,91818,0.87
1178,62809,1.0
1266,40886,1.0
1486,50783,0.89
1538,39285,1.0
2646,85682,0.94
3460,92149,1.0
3834,22655,0.84
4006,22655,0.84
4320,47974,0.86
4991,86119,0.88
6282,47159,1.0
6292,52582,0.85
6656,2155,1.0
7060,28150,0.89
10888,12178,1.0
11404,51738,1.0
11616,38384,1.0
14638,29678,0.94
15343,70383,0.8
16919,2155,0.83
16935,92298,1.0
17900,16784,1.0
19407,35349,0.85
20259,93101,1.0
21153,35349,1.0
21948,4241,0.8
26683,26814,0.9
3363,82053,1.0
3477,31872,1.0
3479,31872,0.94
9558,90361,1.0
18470,92922,1.0
19703,69715,1.0
39003,7733,1.0
39031,17605,0.97
39546,59263,0.83
40010,73466,1.0
40068,68017,1.0
40532,7733,1.0
40746,3889,0.82
40961,3889,0.89
41038,69996,0.86
41359,52455,1.0
41362,31259,1.0
41631,69996,0.86
42139,10054,0.88
42715,51574,0.87
42748,31259,0.89
43225,51574,1.0
43235,16118,0.8
43308,52455,1.0
43723,22681,1.0
44537,69902,1.0
44583,20671,1.0
44677,88574,1.0
44759,20671,1.0
44832,27818,0.83
44857,85940,0.85
44923,27818,0.83
45272,22672,1.0
45772,21466,0.89
46660,69902,1.0
46888,59436,1.0
47206,16598,0.9
47353,42183,0.82
47524,84694,1.0
47658,18932,1.0
47940,18932,1.0
48269,28101,1.0
48410,3529,1.0
48542,12555,1.0
48596,81054,0.9
48648,75389,0.97
48773,61503,1.0
49314,79112,1.0
49567,79383,1.0
49906,28101,1.0
50400,81138,1.0
50802,35047,1.0
51065,60188,1.0
51904,3379,1.0
51955,62425,0.89
51983,48943,0.91
53038,64768,1.0
53402,14251,1.0
53669,21067,1.0
53922,6954,1.0
54280,29459,1.0
54356,21574,1.0
54536,93643,1.0
32683,50930,1.0
33566,59825,1.0
37354,82149,1.0
38882,73946,1.0
38959,46812,0.87
39311,4486,1.0
39376,86483,1.0
39616,5233,1.0
39638,44298,0.92
40060,5233,1.0
40241,58788,1.0
40650,62778,1.0
40764,71899,0.89
41311,78937,0.88
41344,42309,1.0
41753,31540,1.0
41842,48829,1.0
41843,48829,1.0
42129,46524,1.0
42694,74073,1.0
44115,16824,1.0
44122,6630,1.0
44208,33608,1.0
44870,78019,0.81
45101,534,1.0
45182,37208,1.0
45446,43432,1.0
45760,78019,0.86
46402,76760,1.0
47316,31360,1.0
47335,31360,0.97
48395,63631,1.0
48401,35383,0.94
49737,58125,0.95
49829,13628,0.95
50238,58125,1.0
50471,84271,1.0
52139,84271,1.0
53259,42309,0.87
53406,43890,0.85
53407,43890,0.85
53663,82635,1.0
53680,82635,1.0
53916,51638,1.0
55340,11683,0.83
55631,63125,0.93
56186,40638,1.0
56522,36546,0.92
56976,20587,1.0
57524,89923,1.0
57582,93004,1.0
57671,20587,0.97
58477,5653,1.0
58478,5653,0.87
58800,79998,1.0
58884,23154,0.84
58885,23154,0.84
59135,35176,0.89
59248,79998,0.95
59864,4957,1.0
60264,93004,1.0
60380,51742,0.81
60421,27755,1.0
60479,3670,0.9
60480,3670,0.9
62135,51742,0.81
64287,66351,0.8
64368,45115,1.0
64521,4097,1.0
64804,41551,1.0
64806,41551,0.94
65130,4097,0.96
65887,50032,1.0
66491,46136,1.0
66686,37444,0.87
67117,66959,1.0
67561,59538,1.0
67746,76787,0.89
68236,66959,1.0
68983,58799,1.0
69106,58732,0.89
69365,53379,0.9
69474,81191,0.83
69625,59368,0.9
70640,54084,0.92
70668,28001,1.0
70737,27755,1.0
72266,28001,1.0
72314,28090,1.0
72838,86339,1.0
72845,53379,0.87
73082,86339,0.93
73599,88306,1.0
73617,88306,0.94
73904,45075,0.89
74619,1170,0.85
74693,19632,0.96
75128,45281,1.0
75141,45281,0.86
75164,64036,1.0
77096,43026,1.0
77711,7248,1.0
78999,64036,0.86
79492,394,1.0
79847,6272,0.89
79955,47708,1.0
80137,47708,1.0
80550,6029,1.0
81285,48325,0.85
81953,394,1.0
82333,64191,0.87
82546,4974,1.0
82560,4974,1.0
83046,8856,0.97
84236,82636,0.86
85058,88751,1.0
85074,88751,1.0
29191,45152,0.94
29704,76491,1.0
31708,71548,0.8
32464,25691,1.0
33141,28126,1.0
33796,49209,1.0
34352,81769,1.0
37006,28087,0.83
37239,49029,0.94
37680,70053,1.0
37728,50745,1.0
37839,19741,1.0
37932,50270,1.0
38286,36696,1.0
38395,25691,0.92
1209,70372,1.0
5534,55871,1.0
6004,55032,0.86
8062,51458,1.0
14921,41564,1.0
17491,14014,0.89
249,16299,1.0
1162,73222,1.0
4203,79336,0.91
5426,85762,0.86
5466,33649,0.94
8281,60505,1.0
8853,69236,1.0
9532,79971,1.0
9633,35455,0.93
10923,12595,0.9
11758,64478,0.9
12175,799,0.93
12185,28222,0.93
12290,81436,1.0
16985,93741,1.0
17514,7822,1.0
19151,7411,1.0
19892,6887,1.0
21935,64908,1.0
25765,73842,1.0
26134,61562,1.0
27319,26988,1.0
28038,28031,1.0
705,4537,1.0
1438,6207,1.0
1733,22572,0.81
2594,34208,1.0
2801,5942,1.0
3879,2756,0.82
3880,2756,0.82
4026,26959,0.92
4042,9011,1.0
6891,27702,1.0
7093,4860,1.0
7836,68067,1.0
8384,46051,1.0
9211,77085,1.0
9390,18425,0.99
9411,18425,0.99
12611,46370,1.0
14995,5479,0.89
18492,82554,0.91
18498,94466,1.0
19113,90707,1.0
20504,88837,1.0
21416,9530,1.0
21417,9530,1.0
21661,22231,1.0
21693,22231,0.94
22161,5479,0.89
23364,88600,0.87
23545,88837,0.96
24758,38593,1.0
25357,42296,1.0
25797,38593,0.86
27193,58460,1.0
27284,84820,1.0
27592,94422,1.0
217,64860,0.91
387,64860,0.91
440,32206,1.0
1615,11210,0.86
1685,51060,0.94
1993,51060,1.0
2549,633,0.83
2875,633,1.0
3551,14013,1.0
4747,30145,1.0
5259,81782,0.92
5802,81782,1.0
6530,30145,1.0
8796,7816,1.0
9841,31178,1.0
10616,88121,1.0
11478,47763,0.94
11880,9138,1.0
11995,63577,0.92
12203,7816,0.96
13325,86094,1.0
13388,80602,0.8
14522,69204,0.96
14716,33453,1.0
16948,86094,0.92
16958,9243,1.0
16982,56144,0.88
17228,69204,1.0
20757,80836,1.0
21936,68313,0.87
22671,3300,1.0
23039,93857,1.0
23285,68313,0.87
23385,91822,1.0
25120,91822,0.87
25598,22123,1.0
26560,73655,0.89
27343,20454,0.89
39296,31365,0.89
40244,89362,0.89
40550,89362,1.0
40874,74826,1.0
41044,24840,1.0
41110,20153,0.94
41691,44284,0.92
41702,57812,1.0
42408,13719,0.86
42668,51541,1.0
42899,24840,1.0
42940,44625,1.0
43137,46752,1.0
43294,54070,0.87
43661,55890,1.0
43983,55890,1.0
46015,74995,1.0
46501,54070,0.85
46922,19915,1.0
49631,11806,1.0
51270,11806,1.0
51994,47669,0.82
52705,53333,0.94
52946,80463,1.0
787,83090,1.0
807,14411,0.8
977,6927,0.91
1453,26717,1.0
1454,26717,1.0
3251,8378,1.0
3266,60835,1.0
3271,60835,1.0
3317,27175,0.83
4679,53860,1.0
4825,31834,0.89
5182,986,0.85
5335,14882,1.0
5352,31834,1.0
6395,16850,1.0
6439,46167,0.93
8084,82376,1.0
8977,16643,1.0
11148,59315,1.0
12438,88512,0.88
13528,6806,0.85
13535,6806,0.85
13610,24624,1.0
16253,60504,1.0
16534,73080,1.0
16673,81512,1.0
18639,1589,0.86
20872,25060,0.95
20888,91557,0.9
24303,86636,1.0
26865,94303,1.0
26868,94303,1.0
27006,3786,0.86
86916,9371,0.87
87522,33899,0.86
87913,23774,0.95
88070,6567,1.0
88550,36163,1.0
88762,7310,0.82
88976,5687,1.0
89072,5687,1.0
89090,31906,0.86
89140,52593,1.0
89438,94546,1.0
89621,41955,0.86
89992,36163,0.8
90182,31585,1.0
90509,53157,0.93
90560,5366,0.93
90586,31906,0.86
91036,11160,1.0
91068,44559,0.87
91338,43392,0.8
92176,75240,0.88
92374,53216,0.97
92708,44559,0.87
92926,91639,0.81
93604,85579,1.0
93634,73571,0.8
93634,75285,0.83
94480,44043,0.8
94610,8086,0.91
94934,26065,0.86
94947,13985,1.0
95244,51656,0.87
95482,59873,0.86
95914,76407,0.81
96204,65468,0.87
96251,39256,1.0
96402,83261,0.81
96457,29999,0.91
96977,22660,1.0
97102,39256,1.0
97273,9518,0.84
97366,35870,1.0
97831,73571,0.8
97908,74301,0.86
55728,4969,0.88
55728,17230,0.83
55939,7095,1.0
56548,11283,1.0
56548,20583,0.83
57167,76987,0.88
57434,57789,0.88
58364,47944,1.0
58483,4009,0.86
59027,58811,0.94
59101,72837,0.81
59618,58811,0.8
59827,11283,0.9
59827,20583,0.83
59923,69265,1.0
60705,50208,0.88
61298,87931,1.0
61442,50208,1.0
61848,20583,0.83
62772,72837,0.81
63127,49999,1.0
63347,46433,0.81
63663,38074,1.0
64435,81302,0.92
65125,35065,0.94
65507,37072,0.92
66698,87789,1.0
66699,49999,0.87
66712,77238,0.88
66852,20231,0.92
67403,31812,1.0
67443,35004,0.93
68544,78613,1.0
68658,75187,0.9
69175,81302,1.0
69871,37072,0.88
70100,31812,1.0
70184,20583,0.81
70302,26582,0.81
70302,27947,0.81
70302,49221,0.81
70302,66423,0.81
70302,75187,1.0
70302,78092,0.81
70473,35274,0.95
70970,64392,0.87
71015,27465,1.0
71170,37474,0.85
71299,60735,0.86
71447,21775,0.8
72443,46664,0.88
72482,20583,0.81
72482,49087,0.81
73055,4969,1.0
73148,24235,1.0
73326,16802,1.0
74909,78613,0.88
75147,27465,0.92
75322,87340,1.0
75521,49864,0.9
75852,78092,1.0
76697,75039,1.0
79127,81738,1.0
79147,57309,1.0
79385,26075,1.0
80173,75039,1.0
80515,47954,0.87
81665,7730,1.0
82424,58662,1.0
82781,67381,0.85
82781,75996,1.0
83241,87699,1.0
84827,56634,1.0
85538,13251,1.0
86218,76496,0.86
66029,65096,1.0
39034,8722,0.96
41005,43429,1.0
50896,386,0.82
51459,82637,1.0
52821,44024,1.0
53413,74562,1.0
53881,11824,0.86
55838,50750,0.87
56743,15866,0.89
60163,29263,0.91
60260,69966,1.0
63180,14044,1.0
63742,81279,0.88
63755,29170,0.93
63778,93834,1.0
64766,35578,1.0
66684,27072,0.81
67891,93834,0.93
68204,38097,0.8
68615,90775,1.0
69247,20563,1.0
69751,35578,1.0
70080,89003,0.8
70336,94261,0.8
71073,29110,0.92
71086,29110,0.84
71166,89003,0.8
71244,29170,0.82
71245,29170,0.82
71297,19164,1.0
72982,5956,0.81
73978,14044,1.0
74509,94261,0.8
74598,9074,1.0
75551,5956,0.81
76876,14748,0.86
77299,48532,1.0
78188,29268,0.93
78871,62791,0.92
79802,94261,0.8
80340,28263,0.89
80355,14748,1.0
80777,62791,1.0
81107,29566,0.83
81107,42280,0.83
81107,64310,0.81
81107,74084,0.83
81107,77431,0.83
81107,81279,0.83
81107,89010,0.83
81107,89617,0.83
81107,94261,0.83
82391,88435,1.0
82634,69610,0.83
82637,88435,1.0
82679,48651,1.0
83130,67,0.91
83463,48651,1.0
83472,94261,0.8
83759,45394,0.94
85995,40586,0.81
49868,5661,1.0
28491,18418,1.0
28518,18418,1.0
28682,82150,1.0
28955,76838,1.0
30162,21768,1.0
30998,70128,1.0
31234,90097,0.81
31498,56156,1.0
31798,90097,0.81
32454,70128,1.0
32785,34512,0.83
33411,82015,0.82
33413,82015,0.94
33478,70734,1.0
33488,27683,1.0
34458,75951,1.0
35225,93775,0.95
35688,32104,1.0
36041,73170,1.0
36243,18418,1.0
36403,93775,0.95
36506,18418,1.0
37366,57063,1.0
37629,46003,1.0
61613,62805,0.89
61967,62805,0.89
79166,25034,0.91
80378,48925,0.97
83395,57434,1.0
134,65293,0.92
439,68157,1.0
1502,68157,1.0
1723,10439,0.9
2849,38120,1.0
3015,89668,0.9
3083,38120,0.95
3659,65141,1.0
3794,72635,0.8
4015,27220,1.0
4145,29613,0.87
4252,29613,1.0
5285,31869,1.0
5393,92595,1.0
5621,47492,1.0
5670,33071,0.9
5672,4205,0.85
6090,92595,1.0
6145,58118,0.83
6148,58118,1.0
6380,39010,1.0
6592,36381,0.86
7448,23772,1.0
7802,42414,1.0
9107,33071,0.86
9528,7192,1.0
9581,80480,1.0
9833,44088,1.0
10500,821,1.0
11229,42414,1.0
11555,9724,0.81
11919,41807,0.98
12142,28674,0.96
12143,28674,1.0
12488,61639,1.0
12896,92447,1.0
13358,62612,1.0
13450,89221,1.0
13780,89705,1.0
13822,60864,1.0
14963,59424,0.88
14964,53466,1.0
14974,59424,0.97
15161,76656,0.82
15630,6295,1.0
15987,63816,1.0
16142,11168,0.93
16143,11168,0.93
16397,44941,0.81
16442,63816,0.96
16533,84586,0.89
16644,49026,1.0
16771,49026,1.0
16798,16985,1.0
16950,53466,1.0
17254,14177,1.0
17482,72234,0.82
17559,70162,1.0
18113,90460,0.86
18311,92447,0.96
18816,37967,1.0
18821,12685,1.0
18849,37967,1.0
19607,62502,1.0
19794,8135,1.0
20125,18999,0.83
20126,18999,0.83
20401,59083,1.0
20423,22836,1.0
20951,84462,0.83
21077,36505,1.0
21078,36505,1.0
21181,9724,1.0
21235,19447,0.86
21433,53729,1.0
21736,86388,1.0
22456,61204,0.83
22485,8135,1.0
22892,92624,1.0
23016,11629,1.0
23168,92624,0.86
23241,18189,0.88
23487,85944,0.87
23538,1431,1.0
23543,79785,0.96
23951,59493,1.0
24180,17031,1.0
24471,1431,0.88
24538,86388,1.0
24618,13150,1.0
24733,22696,1.0
24828,46710,0.85
25465,1115,0.93
25534,49971,1.0
26186,13067,0.92
26380,4558,1.0
26700,83064,1.0
26960,17727,0.88
26961,17727,1.0
27209,71536,1.0
27480,90460,0.85
39786,45945,0.88
39966,26686,1.0
40493,88166,1.0
40544,71764,1.0
41482,57421,1.0
42223,47217,1.0
42765,60777,0.9
42944,37869,1.0
42980,21006,1.0
43200,60893,1.0
43539,52505,0.8
44010,90910,1.0
44047,58152,0.92
44261,20203,1.0
44374,31100,1.0
46220,58152,0.92
46489,31100,1.0
47660,17123,1.0
47996,2328,0.86
48070,8844,0.88
48419,73524,0.89
48794,43280,1.0
48987,48128,1.0
49179,24595,1.0
49192,33501,1.0
49295,78597,1.0
50690,30212,1.0
50889,48128,1.0
50949,85151,1.0
53419,46711,0.94
54260,14997,1.0
54348,14997,0.91
890,9713,1.0
2228,81504,0.9
3135,69577,1.0
3796,90239,0.9
4498,90239,0.9
5150,69577,1.0
5429,68189,1.0
5580,89215,0.94
6044,44149,1.0
6154,41655,0.95
6629,14332,1.0
7121,20663,0.91
7653,19067,0.91
7925,19067,0.91
8338,24271,1.0
8821,22199,1.0
9476,21422,1.0
9996,39395,0.82
10251,54591,1.0
10260,70402,1.0
10261,70402,1.0
10470,61848,1.0
10792,65533,1.0
11638,33756,0.8
12159,93005,0.91
12268,65240,1.0
12558,93005,1.0
12719,91378,0.87
13819,39395,0.82
13855,91378,1.0
13972,39395,0.82
14093,2013,1.0
14613,78713,1.0
16075,10652,0.82
16080,10652,0.82
16130,39395,0.82
16312,17436,1.0
16395,60114,0.94
16780,39395,0.82
16990,78139,1.0
17088,57870,1.0
17203,52081,0.93
17360,18978,1.0
17712,35908,1.0
17827,91693,1.0
18788,23540,0.82
18788,31701,0.97
20180,40398,1.0
20258,1047,1.0
20258,69937,0.96
20856,42410,0.94
21183,60114,0.94
22062,7451,1.0
22582,78162,1.0
22908,1047,1.0
22908,69937,0.96
23112,92228,0.92
23505,46700,1.0
23729,70343,1.0
24015,41655,0.81
24135,52081,1.0
24477,67799,1.0
24734,93913,1.0
24743,80788,1.0
24875,17358,0.84
25317,53214,0.95
27510,22761,0.92
27671,32743,1.0
54634,93275,0.86
54663,66731,1.0
57644,66731,1.0
58751,93275,0.81
59026,7764,1.0
59162,85248,1.0
60430,45338,1.0
60437,6013,0.94
60570,7764,1.0
61398,85248,0.8
61402,45338,1.0
64602,54113,1.0
65159,54113,1.0
69191,5506,1.0
69696,63898,1.0
70789,5416,0.84
71010,65825,0.88
71439,60372,0.9
72080,32229,1.0
72167,5416,1.0
74641,2846,1.0
76431,28145,1.0
