left_dataset,right_dataset,confidence_score
2671,22611,0.85
2694,56391,0.91
2922,67324,1.0
3233,18176,0.8
3239,70109,1.0
3779,82705,1.0
3818,39946,1.0
4035,36130,1.0
4627,76045,0.86
4937,79731,1.0
4987,20952,0.85
4987,22611,0.85
4987,50005,0.92
5048,5671,1.0
5241,9579,1.0
5241,20952,0.82
5241,22611,0.85
5379,76045,0.86
5483,89768,1.0
5539,29279,1.0
5772,5671,1.0
6031,52398,0.98
6413,46921,0.8
6506,35614,0.81
6703,79731,0.93
6799,19614,1.0
6829,82705,1.0
6874,46921,0.8
6893,39946,1.0
7147,20952,0.85
7147,22611,0.84
7586,73340,1.0
7634,52398,1.0
8102,18176,0.8
8110,20952,0.85
8110,22611,0.85
8110,50005,0.92
8342,18176,0.8
8508,35955,1.0
8579,12507,0.93
9022,20535,0.8
9125,50695,1.0
9517,50695,1.0
10126,52075,1.0
10126,79075,0.8
10570,18176,0.8
10570,20952,0.85
10570,22611,0.84
10570,39028,0.83
10791,18176,0.8
10791,20952,0.85
10791,22611,0.84
10791,39028,0.83
11232,89084,0.83
12076,20952,0.85
12076,22611,0.85
12240,46742,1.0
12447,44232,1.0
13156,20952,0.84
13156,22611,0.85
13156,54102,1.0
13209,20952,0.84
13209,22611,0.84
13209,57767,0.85
13336,91585,1.0
13419,46921,0.92
13912,93759,1.0
15014,296,0.93
15089,2086,0.91
15497,18176,0.8
15559,20667,1.0
15648,18176,0.8
15648,20952,0.84
15648,22611,0.84
16079,10414,0.87
16713,31944,0.8
16733,92663,1.0
16825,20952,0.85
16825,22611,0.84
16825,59906,0.84
16826,20952,0.85
16826,22611,0.84
16826,59906,0.84
16912,8715,1.0
17227,71391,0.86
17485,62283,0.85
17830,89084,0.83
18175,35906,1.0
18948,52708,1.0
19470,20952,0.85
19470,22611,0.85
19600,11638,1.0
19806,92663,1.0
21120,2724,0.83
21756,16900,1.0
21880,55802,1.0
22180,20952,0.85
22180,22611,0.85
22359,20952,0.84
22359,22611,0.84
22359,51890,0.8
22411,71391,0.86
23069,37449,1.0
23338,75076,1.0
23345,75076,0.85
23444,86816,0.8
23924,81180,1.0
23928,18176,0.8
23928,20952,0.85
23928,22611,0.85
23928,83590,0.82
23929,18176,0.8
23929,20952,0.85
23929,22611,0.85
23929,83590,0.82
24116,12023,1.0
24116,89084,0.83
24410,11200,1.0
24413,11200,0.85
24604,11747,1.0
24617,37119,0.93
25425,28108,0.83
26113,11747,0.91
26477,6970,0.85
26812,41054,0.81
26947,6661,0.86
26948,6661,0.86
27356,87369,1.0
27406,75019,0.87
27588,65678,1.0
27852,42104,0.83
28030,87369,0.92
55402,92289,1.0
56377,33807,0.81
57982,49394,1.0
57993,64772,1.0
60174,86976,1.0
60752,49128,1.0
61201,64772,0.84
64172,3016,1.0
64174,5604,1.0
64670,68847,1.0
64906,31575,1.0
64950,44755,1.0
64975,5394,0.8
65065,44755,1.0
65329,91044,0.87
65461,91044,0.87
65665,13566,0.89
65873,6717,1.0
66159,49394,1.0
66471,23347,0.87
66787,78441,0.87
66790,86976,1.0
67589,68847,1.0
68101,32892,0.91
68858,62730,0.94
69027,5394,0.8
69814,13091,0.88
69814,59443,1.0
71823,57909,1.0
72468,33251,0.89
74566,26840,1.0
74586,94168,1.0
74864,3016,1.0
75031,2101,0.92
76087,2101,1.0
76423,76837,0.9
78518,21155,1.0
79112,70022,1.0
79413,90327,0.82
79842,91322,0.83
81069,23391,1.0
81902,61754,0.8
83567,26840,1.0
83898,43408,0.8
84364,39376,1.0
2445,63409,0.83
2445,90997,1.0
3186,73297,0.97
4279,52704,1.0
4655,43348,0.93
4723,43348,1.0
5276,80638,0.91
5284,80638,0.8
5650,55060,0.81
5746,9088,0.91
5823,39633,0.89
5973,77506,0.81
6823,60033,1.0
6825,11502,0.89
7427,3133,0.89
7648,63409,0.83
7648,90997,1.0
9482,9088,0.8
9556,68074,0.83
10199,94284,0.84
10383,70260,0.84
11037,94284,0.84
11949,6520,1.0
12707,30610,0.81
12718,6520,1.0
13512,70260,0.84
17432,535,1.0
18188,12085,0.83
21165,78364,0.95
21166,78364,1.0
21483,77991,0.88
21879,10998,0.87
21990,22598,0.92
22037,64969,1.0
22347,24117,1.0
23547,91392,1.0
25407,27754,0.8
25869,59924,1.0
28123,67444,0.85
1281,61224,0.91
1996,85756,0.82
6840,42427,0.96
7463,45364,1.0
8323,77422,0.84
9520,9548,0.88
10252,1106,0.96
16889,3713,0.92
20576,25723,1.0
21265,25723,1.0
25604,76726,1.0
25846,53912,1.0
28586,94188,0.88
28638,49936,0.91
28862,77381,0.83
29352,63124,0.86
29370,24454,1.0
29648,25879,1.0
